eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
indp005,INDP_W_N,Total Nitrogen,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2018,90.0,
indp005,INDP_W_N,Total Nitrogen,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2019,86.7,
indp005,INDP_W_N,Total Nitrogen,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2020,84.9,
indp005,INDP_W_N,Total Nitrogen,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2021,86.4,
indp005,INDP_W_N,Total Nitrogen,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2022,81.5,
indp005,INDP_W_N,Total Nitrogen,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2023,80.7,E
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2010,100.0,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2011,85.5,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2012,89.3,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2013,89.9,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2014,87.0,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2015,89.4,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2016,83.7,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2017,82.7,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2018,76.9,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2019,81.5,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2020,75.3,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2021,76.6,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2022,78.3,
indp005,INDP_W_P,Total Phosphorus,I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2023,72.2,E
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2010,100.0,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2011,103.4,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2012,101.8,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2013,100.5,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2014,103.0,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2015,106.4,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2016,109.1,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2017,113.0,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2018,115.2,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2019,116.3,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2020,109.4,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2021,117.8,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2022,119.2,
indp005,INDP_W_GVA,Gross Value Added (GVA),I10,"Index, 2010 = 100",EU27_2020,European Union - 27 countries (from 2020),2023,117.6,
